id,A1_SAEM,tau1_SAEM,A1_mean,tau1_mean,A1_mode,tau1_mode,A1_sd,tau1_sd
21,0.585559,5.4991,0.584607,5.51779,0.586488,5.44015,0.010537,0.404583
22,0.555671,6.57,0.555178,6.6016,0.558302,6.44635,0.0111254,0.50245
23,0.340432,36.0461,0.334018,38.9505,0.338082,36.9503,0.00858564,3.51911
24,0.510624,8.8024,0.509083,8.91748,0.509188,8.89835,0.00938144,0.599094
25,0.556152,6.57373,0.56232,6.32881,0.558508,6.45532,0.0105417,0.448758
26,0.414706,18.2639,0.416677,17.9252,0.415817,18.0008,0.0103464,1.67316
27,0.566373,6.15118,0.565988,6.19191,0.566845,6.12368,0.00984461,0.40615
28,0.53509,7.49148,0.534279,7.5437,0.534638,7.50645,0.00864658,0.447612
29,0.640989,4.0165,0.642217,3.9831,0.642783,3.963,0.00748974,0.177024
30,0.512976,8.70439,0.512968,8.73821,0.513469,8.64133,0.0114566,0.736261
31,0.463615,12.3729,0.466718,12.0775,0.464305,12.2701,0.00992383,0.948934
32,0.641014,4.03599,0.642867,3.96833,0.642252,3.98309,0.00907218,0.211916
33,0.576316,5.83276,0.575511,5.84838,0.577147,5.77261,0.00951629,0.359711
34,0.537168,7.41248,0.537661,7.37651,0.537384,7.37975,0.00881974,0.464941
35,0.49891,9.58676,0.499711,9.54311,0.499305,9.53138,0.0114024,0.786074
36,0.58383,5.55873,0.58476,5.51298,0.58376,5.53841,0.0100461,0.355889
37,0.466644,12.0464,0.464353,12.3218,0.466198,12.0933,0.0102695,1.03703
38,0.542076,7.14079,0.540604,7.25534,0.541083,7.20986,0.00848741,0.444947
39,0.349468,32.9302,0.351529,32.3844,0.349062,33.0663,0.0111454,3.56237
40,0.574284,5.85713,0.576758,5.77035,0.575492,5.8124,0.0101714,0.378998
41,0.386664,23.2614,0.389235,22.7442,0.387948,22.9083,0.00917289,2.0313
42,0.541941,7.20777,0.541263,7.2434,0.544261,7.06561,0.0102827,0.515703
