rep,ID,time,observation,indivPredSimulated,censored,split,color,filter
1,1,0,0.542939,0.538038,0,All,#4682B4,0
2,1,0,0.542939,0.491647,0,All,#4682B4,0
3,1,0,0.542939,0.478388,0,All,#4682B4,0
4,1,0,0.542939,0.478709,0,All,#4682B4,0
5,1,0,0.542939,0.450424,0,All,#4682B4,0
6,1,0,0.542939,0.502648,0,All,#4682B4,0
7,1,0,0.542939,0.463529,0,All,#4682B4,0
8,1,0,0.542939,0.500892,0,All,#4682B4,0
9,1,0,0.542939,0.507297,0,All,#4682B4,0
10,1,0,0.542939,0.458101,0,All,#4682B4,0
1,1,0.3539,0.656686,0.651702,0,All,#4682B4,0
2,1,0.3539,0.656686,0.650034,0,All,#4682B4,0
3,1,0.3539,0.656686,0.639026,0,All,#4682B4,0
4,1,0.3539,0.656686,0.654816,0,All,#4682B4,0
5,1,0.3539,0.656686,0.647906,0,All,#4682B4,0
6,1,0.3539,0.656686,0.649874,0,All,#4682B4,0
7,1,0.3539,0.656686,0.650484,0,All,#4682B4,0
8,1,0.3539,0.656686,0.657493,0,All,#4682B4,0
9,1,0.3539,0.656686,0.648685,0,All,#4682B4,0
10,1,0.3539,0.656686,0.656797,0,All,#4682B4,0
1,1,0.7078,0.607591,0.651702,0,All,#4682B4,0
2,1,0.7078,0.607591,0.650034,0,All,#4682B4,0
3,1,0.7078,0.607591,0.639026,0,All,#4682B4,0
4,1,0.7078,0.607591,0.654816,0,All,#4682B4,0
5,1,0.7078,0.607591,0.647906,0,All,#4682B4,0
6,1,0.7078,0.607591,0.649874,0,All,#4682B4,0
7,1,0.7078,0.607591,0.650484,0,All,#4682B4,0
8,1,0.7078,0.607591,0.657493,0,All,#4682B4,0
9,1,0.7078,0.607591,0.648685,0,All,#4682B4,0
10,1,0.7078,0.607591,0.656797,0,All,#4682B4,0
1,1,1.0617,0.606326,0.651702,0,All,#4682B4,0
2,1,1.0617,0.606326,0.650034,0,All,#4682B4,0
3,1,1.0617,0.606326,0.639026,0,All,#4682B4,0
4,1,1.0617,0.606326,0.654816,0,All,#4682B4,0
5,1,1.0617,0.606326,0.647906,0,All,#4682B4,0
6,1,1.0617,0.606326,0.649874,0,All,#4682B4,0
7,1,1.0617,0.606326,0.650484,0,All,#4682B4,0
8,1,1.0617,0.606326,0.657493,0,All,#4682B4,0
9,1,1.0617,0.606326,0.648685,0,All,#4682B4,0
10,1,1.0617,0.606326,0.656797,0,All,#4682B4,0
