popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.489139,0.499001,0.489139,0.384685,0.593593,0.37269,0.367445,0.37269,0.268237,0.477144,All
0.491941,0.501759,0.491941,0.387487,0.596395,0.378168,0.373097,0.378168,0.273715,0.482622,All
0.492373,0.502184,0.492373,0.387919,0.596827,0.380697,0.375706,0.380697,0.276244,0.485151,All
0.494759,0.504533,0.494759,0.390305,0.599213,0.383727,0.378832,0.383727,0.279273,0.488181,All
0.495607,0.505367,0.495607,0.391153,0.600061,0.388704,0.383968,0.388704,0.28425,0.493158,All
0.497593,0.507323,0.497593,0.393139,0.602047,0.389367,0.384651,0.389367,0.284913,0.493821,All
0.49884,0.50855,0.49884,0.394386,0.603294,0.39509,0.390556,0.39509,0.290637,0.499544,All
0.500443,0.510128,0.500443,0.395989,0.604897,0.396711,0.392229,0.396711,0.292257,0.501165,All
0.502074,0.511733,0.502074,0.39762,0.606528,0.400898,0.396548,0.400898,0.296444,0.505352,All
0.50331,0.51295,0.50331,0.398856,0.607764,0.404718,0.40049,0.404718,0.300264,0.509172,All
0.505308,0.514916,0.505308,0.400854,0.609761,0.40679,0.402628,0.40679,0.302336,0.511244,All
0.506193,0.515788,0.506193,0.401739,0.610647,0.412725,0.408752,0.412725,0.308271,0.517179,All
0.508541,0.518099,0.508541,0.404087,0.612995,0.41277,0.408797,0.41277,0.308316,0.517223,All
0.509093,0.518642,0.509093,0.404639,0.613546,0.418837,0.415057,0.418837,0.314383,0.523291,All
0.511775,0.521282,0.511775,0.407321,0.616229,0.420732,0.417013,0.420732,0.316278,0.525186,All
0.512009,0.521513,0.512009,0.407555,0.616463,0.424993,0.421409,0.424993,0.320539,0.529447,All
0.514942,0.5244,0.514942,0.410488,0.619395,0.428739,0.425274,0.428739,0.324285,0.533193,All
0.515009,0.524466,0.515009,0.410555,0.619462,0.43124,0.427854,0.43124,0.326786,0.535694,All
0.517891,0.527303,0.517891,0.413437,0.622345,0.436746,0.433536,0.436746,0.332292,0.5412,All
0.518242,0.527649,0.518242,0.413788,0.622696,0.437578,0.434394,0.437578,0.333125,0.542032,All
0.520858,0.530223,0.520858,0.416404,0.625312,0.44401,0.441014,0.44401,0.339556,0.548464,All
0.521476,0.530832,0.521476,0.417022,0.62593,0.444753,0.441769,0.444753,0.340299,0.549207,All
0.523841,0.53316,0.523841,0.419387,0.628295,0.450537,0.447655,0.450537,0.346083,0.55499,All
0.52471,0.534015,0.52471,0.420256,0.629163,0.45276,0.449918,0.45276,0.348306,0.557214,All
0.526842,0.536114,0.526842,0.422388,0.631296,0.457159,0.454394,0.457159,0.352705,0.561613,All
0.527943,0.537198,0.527943,0.423489,0.632397,0.460767,0.458066,0.460767,0.356313,0.565221,All
0.52986,0.539084,0.52986,0.425406,0.634314,0.463878,0.461233,0.463878,0.359424,0.568332,All
0.531177,0.540381,0.531177,0.426723,0.635631,0.468774,0.466219,0.468774,0.36432,0.573228,All
0.532895,0.542072,0.532895,0.428441,0.637349,0.470697,0.468181,0.470697,0.366243,0.575151,All
0.534411,0.543564,0.534411,0.429957,0.638864,0.476781,0.474403,0.476781,0.372327,0.581235,All
0.535947,0.545076,0.535947,0.431493,0.640401,0.477615,0.475256,0.477615,0.373161,0.582069,All
0.537644,0.546747,0.537644,0.43319,0.642098,0.484636,0.482451,0.484636,0.380182,0.589089,All
0.539017,0.548098,0.539017,0.434563,0.643471,0.484788,0.482608,0.484788,0.380334,0.589242,All
0.540878,0.54993,0.540878,0.436424,0.645332,0.491759,0.489786,0.491759,0.387305,0.596213,All
0.542105,0.551137,0.542105,0.437651,0.646559,0.492795,0.490854,0.492795,0.388341,0.597249,All
0.544111,0.553113,0.544111,0.439658,0.648565,0.498987,0.497256,0.498987,0.394533,0.603441,All
0.54521,0.554194,0.54521,0.440756,0.649664,0.500802,0.499139,0.500802,0.396348,0.605256,All
0.547345,0.556296,0.547345,0.442891,0.651799,0.506322,0.504869,0.506322,0.401868,0.610776,All
0.548333,0.557268,0.548333,0.443879,0.652787,0.508809,0.507451,0.508809,0.404355,0.613263,All
0.550579,0.559479,0.550579,0.446125,0.655033,0.513764,0.512604,0.513764,0.40931,0.618218,All
0.551474,0.56036,0.551474,0.44702,0.655928,0.516816,0.515778,0.516816,0.412362,0.62127,All
0.553812,0.562662,0.553812,0.449359,0.658266,0.521315,0.52045,0.521315,0.416862,0.625769,All
0.554633,0.563469,0.554633,0.450179,0.659087,0.524823,0.524091,0.524823,0.420369,0.629277,All
0.557046,0.565845,0.557046,0.452592,0.6615,0.528978,0.528404,0.528978,0.424524,0.633432,All
0.55781,0.566597,0.55781,0.453356,0.662264,0.53283,0.532389,0.53283,0.428376,0.637284,All
0.56028,0.569028,0.56028,0.455826,0.664734,0.536753,0.536423,0.536753,0.432299,0.641207,All
0.561005,0.569742,0.561005,0.456551,0.665459,0.540837,0.540621,0.540837,0.436383,0.645291,All
0.563513,0.572211,0.563513,0.45906,0.667967,0.544643,0.544535,0.544643,0.440189,0.649097,All
0.564219,0.572905,0.564219,0.459765,0.668673,0.548844,0.54885,0.548844,0.44439,0.653297,All
0.566747,0.575394,0.566747,0.462293,0.671201,0.552648,0.552713,0.552648,0.448194,0.657102,All
0.567451,0.576086,0.567451,0.462997,0.671905,0.556851,0.556893,0.556851,0.452397,0.661304,All
0.569981,0.578577,0.569981,0.465527,0.674435,0.560771,0.560747,0.560771,0.456318,0.665225,All
0.570701,0.579286,0.570701,0.466247,0.675155,0.564858,0.564763,0.564858,0.460404,0.669311,All
0.573214,0.58176,0.573214,0.468761,0.677668,0.569014,0.568849,0.569014,0.46456,0.673468,All
0.57397,0.582504,0.57397,0.469516,0.678424,0.572864,0.572634,0.572864,0.468411,0.677318,All
0.576448,0.584943,0.576448,0.471994,0.680902,0.577378,0.57707,0.577378,0.472924,0.681832,All
0.577258,0.58574,0.577258,0.472804,0.681712,0.580871,0.580505,0.580871,0.476418,0.685325,All
0.579682,0.588126,0.579682,0.475228,0.684136,0.585864,0.585341,0.585864,0.48141,0.690318,All
0.580564,0.588995,0.580564,0.476111,0.685018,0.588878,0.588203,0.588878,0.484425,0.693332,All
0.582915,0.591309,0.582915,0.478462,0.687369,0.594476,0.593591,0.594476,0.490022,0.69893,All
