time,observation,id
0,0.535585885,63
0.3539,0.456952141,63
0.7078,0.479703442,63
1.0617,0.49630218,63
1.4156,0.45639889300000003,63
1.7695,0.61026879,63
2.1234,0.540384766,63
2.4773,0.734195171,63
2.8312,0.573545318,63
3.1851,0.548494937,63
3.539,0.439797309,63
3.8929,0.515699008,63
4.2468,0.437566106,63
4.6007,0.495044778,63
4.9546,0.501050353,63
5.3085,0.419047245,63
5.6624,0.502513712,63
6.0162,0.461680814,63
6.3701,0.489338391,63
6.724,0.628546762,63
7.0779,0.546912466,63
7.4318,0.482133999,63
7.7857,0.340916569,63
8.1396,0.415364838,63
8.4935,0.320257436,63
8.8474,0.466827327,63
9.2013,0.440404178,63
9.5552,0.481272519,63
9.9091,0.405644359,63
10.263,0.408636574,63
10.6169,0.495198681,63
10.9708,0.504206674,63
11.3247,0.377652462,63
11.6786,0.357303519,63
12.0325,0.370848991,63
12.3863,0.373739987,63
12.7402,0.415403775,63
13.0941,0.321429105,63
13.448,0.423922046,63
13.8019,0.386613248,63
14.1558,0.344199152,63
14.5097,0.411151601,63
14.8636,0.31211813,63
15.2175,0.365774129,63
15.5714,0.308524444,63
15.9253,0.317917178,63
16.2792,0.436255406,63
16.6331,0.339348244,63
16.987,0.326946323,63
17.3409,0.415998157,63
0,0.272707158,64
0.3539,0.332711655,64
0.7078,0.418093124,64
1.0617,0.402328065,64
1.4156,0.515331442,64
1.7695,0.452849323,64
2.1234,0.366778435,64
2.4773,0.434862343,64
2.8312,0.456965634,64
3.1851,0.376854577,64
3.539,0.407545249,64
3.8929,0.460135369,64
4.2468,0.514635833,64
4.6007,0.452647518,64
4.9546,0.482312412,64
5.3085,0.309605766,64
5.6624,0.385043203,64
6.0162,0.295965597,64
6.3701,0.338496473,64
6.724,0.418922698,64
7.0779,0.457908256,64
7.4318,0.349691,64
7.7857,0.416193409,64
8.1396,0.350143716,64
8.4935,0.431355405,64
8.8474,0.308728613,64
9.2013,0.32400059,64
9.5552,0.461842426,64
9.9091,0.436075044,64
10.263,0.287803073,64
10.6169,0.445758128,64
10.9708,0.354658737,64
11.3247,0.320893003,64
11.6786,0.354288073,64
12.0325,0.354849677,64
12.3863,0.297180677,64
12.7402,0.322240527,64
13.0941,0.434454619,64
13.448,0.275108664,64
13.8019,0.353927646,64
14.1558,0.311477612,64
14.5097,0.338805283,64
14.8636,0.255350705,64
15.2175,0.301882179,64
15.5714,0.299635438,64
15.9253,0.242002286,64
16.2792,0.394346432,64
16.6331,0.311227754,64
16.987,0.324551468,64
17.3409,0.315406851,64
0,0.390561404,65
0.3539,0.569674964,65
0.7078,0.39042442,65
1.0617,0.691044973,65
1.4156,0.330410418,65
1.7695,0.660569264,65
2.1234,0.634936335,65
2.4773,0.705593934,65
2.8312,0.718066628,65
3.1851,0.514741769,65
3.539,0.59435678,65
3.8929,0.594583589,65
4.2468,0.642706794,65
4.6007,0.42733765,65
4.9546,0.433066286,65
5.3085,0.555862985,65
5.6624,0.735417489,65
6.0162,0.618907275,65
6.3701,0.48877782,65
6.724,0.513275921,65
7.0779,0.474021649,65
7.4318,0.595208829,65
7.7857,0.457650518,65
8.1396,0.410288453,65
8.4935,0.569294407,65
8.8474,0.395501907,65
9.2013,0.48951062,65
9.5552,0.438364722,65
9.9091,0.428328707,65
10.263,0.454435013,65
10.6169,0.43237282,65
10.9708,0.49199313,65
11.3247,0.420928011,65
11.6786,0.459800902,65
12.0325,0.460275146,65
12.3863,0.444733908,65
12.7402,0.554883608,65
13.0941,0.436903588,65
13.448,0.440428312,65
13.8019,0.502395359,65
14.1558,0.499168803,65
14.5097,0.481549283,65
