rep,id,A1,tau1,A2,p,eta_A1,eta_tau1,eta_A2,eta_p
1,1,-0.548313003930022,1.86554827001963,-0.400026636367788,10.4868813506914,0.00327277083445343,0.0236721383310383,-0.00522952265510385,2.49750902100056
2,1,-0.517636739100672,2.12953475792543,-0.418735593855386,8.95415105222771,0.0339490356638041,0.287658626236841,-0.0239384801427019,0.964778722536865
1,2,-0.590752195394763,1.80691625440785,-0.369379584144296,3.85150113430908,-0.0391664206302875,-0.0349598772807396,0.0254175295683886,-4.13787119538176
2,2,-0.639486779522223,1.87560842962532,-0.336351665557765,3.49958146454807,-0.0879010047577469,0.0337322979367265,0.0584454481549197,-4.48979086514277
1,3,-1.12616049247011,2.24690273596045,0.0236637252799979,10.6170971857042,-0.574574717705633,0.405026604271855,0.418460838992682,2.62772485601334
2,3,-1.12999353272133,2.06102383092739,0.0386071811644616,9.69987326597969,-0.578407757956852,0.219147699238801,0.433404294877146,1.71050093628885
1,4,-0.702152617449286,1.98901372886223,-0.292451779391037,13.0466119955058,-0.15056684268481,0.147137597173635,0.102345334321647,5.05723966581499
2,4,-0.650405494889186,1.36871855057017,-0.326619375220953,9.88110437699329,-0.0988197201247097,-0.473157581118423,0.0681777384917315,1.89173204730245
1,5,-0.583610943373382,1.55686161574646,-0.378075038935511,10.7965462497199,-0.0320251686089064,-0.285014515942129,0.0167220747771727,2.80717392002908
2,5,-0.561639322879618,1.75134877369792,-0.377257754307918,10.1497627256937,-0.0100535481151425,-0.0905273579906691,0.017539359404766,2.16039039600282
1,6,-0.851637388843328,2.01454143929142,-0.173542524408258,3.97008185002647,-0.300051614078852,0.172665307602823,0.221254589304427,-4.01929047966437
2,6,-0.907471455874459,1.91362084063711,-0.145880194318649,16.7121794614498,-0.355885681109983,0.071744708948517,0.248916919394036,8.72280713175897
1,7,-0.576739947648666,1.81559414954397,-0.373781767149196,13.7123133757976,-0.0251541728841903,-0.0262819821446238,0.021015346563488,5.72294104610679
2,7,-0.598920077420519,1.98418702944889,-0.351128294380646,7.97148625662881,-0.0473343026560427,0.142310897760301,0.0436688193320385,-0.0178860730620345
1,8,-0.604214066043319,1.75519727267205,-0.347592418796575,4.93559907664644,-0.0526282912788433,-0.0866788590165428,0.0472046949161093,-3.0537732530444
2,8,-0.663519122224455,2.01784925845071,-0.314564533761333,2.58084026327017,-0.111933347459979,0.175973126762114,0.0802325799513513,-5.40853206642067
1,9,-0.446516639187587,1.93616813612027,-0.468307514243749,5.26569284526996,0.105069135576889,0.0942920044316775,-0.0735104005310644,-2.72367948442088
2,9,-0.453572059453818,1.81952884166027,-0.468301894628717,4.75053138638478,0.098013715310658,-0.022347290028327,-0.0735047809160326,-3.23884094330606
1,10,-0.690154264423752,1.98284278292487,-0.296628337970042,6.35113589416212,-0.138568489659276,0.140966651236278,0.0981687757426419,-1.63823643552873
2,10,-0.682597416142657,1.57633668025865,-0.29848692258245,6.79061073428867,-0.131011641378181,-0.265539451429941,0.0963101911302347,-1.19876159540217
1,11,-0.712993581340956,1.67768948828341,-0.284628520994457,6.98024348939669,-0.16140780657648,-0.164186643405179,0.110168592718227,-1.00912884029415
2,11,-0.759434800690799,1.46334128423138,-0.248251972220751,7.88734215506322,-0.207849025926323,-0.378534847457213,0.146545141491933,-0.102030174627618
1,12,-0.472980861101609,2.00343214842072,-0.444931821575789,4.71071278320669,0.0786049136628667,0.16155601673213,-0.0501347078631046,-3.27865954648416
2,12,-0.44283976023749,1.99103616040856,-0.475968999224284,7.32272022020341,0.108746014526985,0.149160028719963,-0.0811718855116002,-0.666652109487432
1,13,-0.535959431249875,1.53950727675879,-0.407446233378378,13.9669299821226,0.0156263435146005,-0.302368854929804,-0.0126491196656938,5.97755765243172
2,13,-0.552388298272531,2.17387867153601,-0.389237478251084,13.8019189414861,-0.000802523508055208,0.332002539847416,0.00555963546160032,5.8125466117953
1,14,-0.597631482959026,2.01808690411231,-0.367927972431034,5.95536681073489,-0.0460457081945497,0.176210772423719,0.0268691412816499,-2.03400551895596
2,14,-0.56227900884944,1.89502915150355,-0.384820574513116,10.3980414209391,-0.0106932340849645,0.0531530198149586,0.00997653919956865,2.40866909124822
1,15,-0.69906252294915,1.93398407583145,-0.28915935451753,2.7882162413874,-0.147476748184674,0.0921079441428525,0.105637759195154,-5.20115608830344
2,15,-0.651199654532166,2.07370717574456,-0.330683544427472,18.2454950848229,-0.0996138797676897,0.23183104405597,0.0641135692852125,10.2561227551321
1,16,-0.503060111245695,1.93043716553274,-0.427519430194709,6.01248824114234,0.0485256635187811,0.0885610338441458,-0.032722316482025,-1.9768840885485
2,16,-0.570160076004899,1.91193712962461,-0.378504239140535,4.02646824966031,-0.0185743012404234,0.0700609979360212,0.0162928745721495,-3.96290408003054
1,17,-0.725294097869757,1.55379958548842,-0.273440345651277,7.5279134724392,-0.173708323105281,-0.288076546200178,0.121356768061408,-0.461458857251648
2,17,-0.76475239535109,1.72917497683092,-0.243107363474913,7.80083514542518,-0.213166620586614,-0.112701154857673,0.151689750237771,-0.188537184265662
1,18,-0.569438548233021,1.78204503921984,-0.376196015267794,8.56198993409863,-0.0178527734685452,-0.0598310924687497,0.0186010984448902,0.572617604407787
2,18,-0.602667822515475,2.15530830971957,-0.354818892899196,9.64413157803978,-0.0510820477509991,0.31343217803098,0.039978220813488,1.65475924834894
1,19,-1.10830313559066,1.76389368873072,0.0120250668699248,7.718750235309,-0.556717360826183,-0.0779824429578717,0.406822180582609,-0.27062209438184
2,19,-1.05787699465766,2.07534439724158,-0.0235425930169674,11.2223633689173,-0.506291219893185,0.233468265552987,0.371254520695717,3.2329910392265
1,20,-0.545558991162045,1.47791600543262,-0.406917939744184,9.71001175137314,0.00602678360243059,-0.36396012625597,-0.0121208260314998,1.72063942168229
2,20,-0.568142097734556,1.40579357746612,-0.390454648341399,10.61214255092,-0.0165563229700803,-0.436082554222471,0.00434246537128508,2.62277022122912
1,21,-0.943283769555959,2.55852760387494,-0.0977761658130921,13.4606929497087,-0.391697994791483,0.716651472186347,0.297020947899592,5.47132062001786
2,21,-0.988630906688941,1.8589711761347,-0.0698423493069227,7.67682313276468,-0.437045131924465,0.017095044446108,0.324954764405762,-0.312549196926163
1,22,-0.599527006544124,1.91482909826914,-0.352295663754838,7.3788938354699,-0.0479412317796486,0.0729529665805435,0.0425014499578465,-0.610478494220946
2,22,-0.629257625169919,1.92568462037285,-0.333585976589502,1.52389806135658,-0.0776718504054434,0.0838084886842592,0.0612111371231823,-6.46547426833427
1,23,-0.473861249787405,1.66392489642636,-0.451177747211545,9.42170307703185,0.0777245249770706,-0.177951235262235,-0.056380633498861,1.43233074734101
2,23,-0.490060350689767,1.77667507461375,-0.437896988286058,3.95402437077307,0.0615254240747088,-0.0652010570748436,-0.0430998745733741,-4.03534795891778
1,24,-0.308152704572018,1.60861330835147,-0.570489328421013,4.7414180104581,0.243433070192458,-0.233262823337121,-0.175692214708329,-3.24795431923274
2,24,-0.334964918787672,2.08387942429476,-0.560600497682683,7.44685172788509,0.216620855976804,0.242003292606165,-0.165803383969999,-0.542520601805753
1,25,-0.416719548333309,1.58903809387006,-0.491901810313126,7.66533077852646,0.134866226431167,-0.25283803781853,-0.0971046966004421,-0.324041551164384
2,25,-0.390193104199518,1.49787663880833,-0.507575221927323,3.9467484952617,0.161392670564958,-0.343999492880262,-0.112778108214639,-4.04262383442915
1,26,-0.419009625651304,1.68325719379303,-0.49588050700881,7.2727296015954,0.132576149113172,-0.158618937895564,-0.101083393296126,-0.716642728095441
2,26,-0.535264119608598,1.67843225856084,-0.408723262441453,-1.00440834139471,0.0163216551558775,-0.163443873127755,-0.0139261487287689,-8.99378067108555
1,27,-0.47250483919522,1.57864628000305,-0.466386041736577,3.13378491172231,0.0790809355692556,-0.263229851685542,-0.0715889280238923,-4.85558741796853
2,27,-0.449647398842284,1.45550983347571,-0.477928326519431,15.5767509221382,0.101938375922192,-0.386366298212884,-0.0831312128067465,7.58737859244732
1,28,-0.416385347050145,1.86744220329598,-0.493534013581428,8.88852564980334,0.135200427714331,0.0255660716073858,-0.0987368998687437,0.899153320112498
2,28,-0.415139628717559,1.89889676269074,-0.499195531547544,8.56737247890319,0.136446146046917,0.0570206310021484,-0.10439841783486,0.578000149212347
