parameter,value,se_sa,rse_sa
A1_pop,0.381708989305725,0.00720219909650819,1.88682983589356
tau1_pop,7621.86868622734,12779.9700025939,167.675022080704
A2_pop,0.273360033524679,0.00814811200290211,2.98072541835802
tau2_pop,5.76352887914065,0.792143558036045,13.7440719851855
omega_A1,0.0741361021739462,0.0166269239466939,22.4275669466436
omega_tau1,1.98296161345627,0.425725060915524,21.4691529087894
omega_A2,0.129565208273771,0.0282059497532262,21.7696942944955
omega_tau2,0.344587433620939,0.0752568895038705,21.8397080569851
corr_A2_A1,0.998263476149988,nan,nan
corr_tau1_A1,0.929284659409277,nan,nan
corr_tau2_A1,-0.993651705440721,nan,nan
corr_tau1_A2,0.907829957300644,nan,nan
corr_tau2_A2,-0.986062794205662,nan,nan
corr_tau2_tau1,-0.964858520941509,nan,nan
a,0.0825338395589024,0.00138281057072635,1.6754467962677
