id,A1_SAEM,tau1_SAEM,I0_SAEM,A1_mean,tau1_mean,I0_mean,A1_mode,tau1_mode,I0_mode,A1_sd,tau1_sd,I0_sd
43,0.142421,1.98058,0.460008,0.145336,1.68284,0.457187,0.144074,1.66145,0.458377,0.00545879,0.574131,0.00622194
44,0.140148,2.21502,0.401022,0.141854,2.01602,0.399453,0.141835,1.89079,0.399815,0.00513289,0.647471,0.00632594
45,0.139841,2.38726,0.43587,0.140296,2.18111,0.435916,0.140472,2.02187,0.435854,0.00529159,0.747982,0.00692488
46,0.146428,1.47609,0.340475,0.146241,1.51152,0.34142,0.146389,1.39383,0.340826,0.00612569,0.593417,0.007003
47,0.146204,1.42304,0.276785,0.14764,1.32087,0.275153,0.147081,1.31039,0.275436,0.00460347,0.371396,0.00594839
48,0.152567,0.936773,0.284953,0.152065,0.998194,0.285465,0.154244,0.796772,0.283711,0.00708013,0.442287,0.00723589
49,0.151283,1.06649,0.314538,0.152062,1.0027,0.314715,0.152754,0.904817,0.31347,0.00555589,0.307813,0.00653487
50,0.151186,0.970481,0.200981,0.153445,0.889896,0.199344,0.153176,0.832347,0.199905,0.0057242,0.274023,0.00677776
51,0.150371,1.12612,0.263855,0.151092,1.04487,0.262919,0.151524,0.93564,0.262587,0.00604752,0.416829,0.0065962
52,0.151365,1.05409,0.282586,0.15086,1.09452,0.283478,0.152161,0.946573,0.28194,0.00594282,0.345043,0.00640252
53,0.162655,0.513559,0.333551,0.161168,0.558101,0.334308,0.162455,0.50427,0.333624,0.00542762,0.153108,0.00589787
54,0.142755,1.85253,0.343009,0.143509,1.89263,0.342038,0.142978,1.74037,0.342595,0.00676606,0.712562,0.00743706
55,0.152538,0.933443,0.307235,0.153762,0.889838,0.306125,0.154417,0.825821,0.305676,0.00519965,0.27176,0.00636249
56,0.169796,0.317637,0.512386,0.170016,0.326304,0.510893,0.171469,0.295464,0.510742,0.00590831,0.0848505,0.00692514
57,0.13665,2.7608,0.415805,0.139018,2.37119,0.412698,0.140146,2.08703,0.411622,0.00509776,0.767108,0.00637044
58,0.145107,1.56034,0.508471,0.145533,1.57138,0.507902,0.145723,1.4345,0.508196,0.00561013,0.47084,0.00692779
59,0.146857,1.51221,0.489854,0.147456,1.39785,0.48995,0.149345,1.16348,0.48823,0.00576232,0.483031,0.00676552
60,0.143423,1.79693,0.473455,0.142275,1.91687,0.474486,0.144411,1.59305,0.472772,0.00510966,0.652502,0.00656987
61,0.144466,1.7048,0.402425,0.143224,1.92218,0.403296,0.144936,1.5486,0.401699,0.00676815,0.770643,0.00829188
62,0.153926,0.874572,0.336524,0.155006,0.863103,0.335785,0.15469,0.803935,0.335567,0.00606226,0.327553,0.00609358
