rep,id,A1,tau1,I0
1,43,0.142370996235301,1.42299282273935,0.46210867091986
2,43,0.147856054153362,1.17263871096384,0.451853190542434
3,43,0.142664927851404,1.56052243204717,0.462077331374026
4,43,0.131260480837032,4.26516859069882,0.461348344534546
5,43,0.154395742363648,0.994974436953643,0.449597554655787
6,43,0.149610604193694,1.88586343207159,0.452274387797563
7,43,0.1495627752121,1.61076442553502,0.454254366414855
8,43,0.147642498402308,1.33722970097605,0.458414118680304
9,43,0.14827816941269,1.68058811677122,0.458767718328663
10,43,0.146475270054758,1.72148353696109,0.465755032531986
1,44,0.138292074558625,1.84134880700521,0.406854214655167
2,44,0.14195916039912,1.85783828112202,0.396220667607126
3,44,0.139231913526171,2.43177832413156,0.399503861913239
4,44,0.141457777994597,1.59273755093758,0.398698804205144
5,44,0.147223556116177,1.57980342009339,0.392842306275368
6,44,0.142731563770188,2.03417480470189,0.402093180344827
7,44,0.136185978020308,1.92562341425229,0.404611420665062
8,44,0.152771311730027,1.01588330077228,0.394559425681339
9,44,0.14992917579548,1.62825146973254,0.39738180877492
10,44,0.12850628634382,3.49380755236987,0.408037393518396
1,45,0.137878005323957,2.29731186611998,0.431871029690923
2,45,0.136057669153897,2.94464833118448,0.448438420300533
3,45,0.134811067552861,2.98799447949878,0.440553915818344
4,45,0.135224782705784,2.2709746748368,0.443748900226697
5,45,0.136462028940552,2.31541177704905,0.445964033592029
6,45,0.13736598514123,2.8490801950893,0.432015887815497
7,45,0.137164459387634,1.78130785765223,0.433586711539463
8,45,0.130564299161066,2.69018410848025,0.439177235348106
9,45,0.139317271607851,2.57060617112116,0.446166660094986
10,45,0.135429517041287,3.18891093881393,0.430483991910915
1,46,0.15001267045742,1.35851450987453,0.331219283324907
2,46,0.136905343676587,1.81466093741579,0.344940681551365
3,46,0.150950654445041,1.33892996795838,0.336990249299837
4,46,0.136171683602439,2.07548066537306,0.350326230813272
5,46,0.143895629592378,1.4332818443207,0.350255280301229
6,46,0.146805282433985,1.18216681052858,0.334013905649962
7,46,0.155226476711793,0.790631647926078,0.338523342277813
8,46,0.151751406851552,1.53360208132455,0.342956566942331
9,46,0.148648242240293,1.14749952324264,0.337856358117654
10,46,0.143332332961398,1.18968374300855,0.35053970030502
1,47,0.156154517621349,1.07925095942389,0.268740833017872
2,47,0.14947522871291,1.18747654451467,0.275682988394812
3,47,0.13274789499783,2.67311564215961,0.288264900865229
4,47,0.144005588198124,1.74175627577606,0.274583852678315
5,47,0.150372365103335,1.41564979420524,0.272142426522068
6,47,0.148265590750759,1.25497179846061,0.272367135124058
7,47,0.143629781534062,1.0833349520911,0.281249486098193
8,47,0.150323861331515,1.1688923792109,0.269965511427685
9,47,0.155811677268956,0.99128304688027,0.265338991676146
10,47,0.146192931584639,1.27440553977573,0.275728544551812
1,48,0.160164066963547,0.744296686137878,0.280552504234273
2,48,0.14502685932962,1.09570905439666,0.291247000512077
3,48,0.145326704558661,1.36627731702435,0.282461152248212
4,48,0.141389044877357,1.55513098104589,0.28862633197041
5,48,0.153980474359951,0.612079489956637,0.288252766016297
6,48,0.163154932352792,0.469170097568487,0.288527346358111
7,48,0.15643157959203,0.914274348437368,0.27894937188883
8,48,0.142241234715519,1.95384449268312,0.284112627695802
9,48,0.155694077955396,1.16867986247544,0.288487586409391
10,48,0.147851952187061,0.907506057857328,0.280801463526346
1,49,0.158348116223412,0.59886421419605,0.322693213275147
2,49,0.142004316987484,1.35888356059448,0.332268875346273
3,49,0.156235936016704,0.875831672966023,0.307714669160867
4,49,0.149751114040695,0.80727684926692,0.317002375372378
5,49,0.150043022226775,0.945013329720013,0.310955834432207
6,49,0.149014851936196,1.22918347398583,0.307279726540107
7,49,0.147696896959483,0.940099750486354,0.318893321249843
8,49,0.147137413895809,1.3316476194137,0.316222924687724
9,49,0.152399375025403,1.11786964432208,0.310875707624548
10,49,0.155645789476854,0.908331810721911,0.305737086271592
1,50,0.163144752395849,0.585855391213275,0.193673256562991
2,50,0.153450078088586,1.01889956725457,0.19985291664102
3,50,0.14515476917521,0.882169545167523,0.210852483108618
4,50,0.16363170778996,0.50704458370033,0.184480092084233
5,50,0.157857494554345,0.771357564880248,0.19738935662654
6,50,0.151432210017159,0.68535457086948,0.200606230124987
7,50,0.15488858068741,0.858736817291864,0.200723910035722
8,50,0.15470734603595,1.03038472384223,0.196240946664994
9,50,0.146281757627186,1.0989481722683,0.213675109777535
