iteration,convergenceIndicator,phase,A1_pop,tau1_pop,A2_pop,tau2_pop,I0_pop,omega_A1,omega_tau1,omega_A2,omega_tau2,omega_I0,corr_A2_A1,corr_tau1_A1,corr_tau2_A1,corr_tau1_A2,corr_tau2_A2,corr_tau2_tau1,a
42,-205.82,1,0.168511,186.527,0.20381,28.2561,0.258675,0.393908,1.39491,0.349409,2.07143,0.349409,0,0,0,0,0,0,0.349409
43,-292.708,1,0.16331,161.405,0.203897,30.1621,0.255737,0.383934,1.51639,0.340562,2.01898,0.340562,0,0,0,0,0,0,0.340562
44,-385.557,1,0.156557,174.172,0.21295,32.0287,0.259416,0.374212,1.478,0.331938,1.96786,0.331938,0,0,0,0,0,0,0.331938
45,-475.363,1,0.165962,272.312,0.211376,43.5276,0.261693,0.364737,1.44057,0.323534,1.91803,0.323534,0,0,0,0,0,0,0.323534
46,-566.275,1,0.16423,279.698,0.209489,51.6044,0.261995,0.355502,1.44748,0.315341,1.86946,0.315341,0,0,0,0,0,0,0.315341
47,-666.314,1,0.162654,258.875,0.197148,54.29,0.273856,0.3465,1.54096,0.307357,1.82732,0.307357,0,0,0,0,0,0,0.307357
48,-745.117,1,0.162406,282.012,0.197687,57.7883,0.268703,0.337727,1.50194,0.299574,1.92188,0.299574,0,0,0,0,0,0,0.299574
49,-833.586,1,0.160294,274.771,0.20144,80.6342,0.278079,0.329175,1.48241,0.291989,2.1649,0.291989,0,0,0,0,0,0,0.291989
50,-939.351,1,0.152078,290.115,0.197165,81.2346,0.289423,0.32084,1.44488,0.284596,2.11008,0.284596,0,0,0,0,0,0,0.284596
51,-1022.67,1,0.148414,307.355,0.187949,97.6674,0.304649,0.312717,1.40829,0.27739,2.05665,0.27739,0,0,0,0,0,0,0.27739
52,-1123.35,1,0.146537,430.053,0.189999,128.428,0.312904,0.304798,1.37263,0.270366,2.08485,0.270366,0,0,0,0,0,0,0.270366
53,-1191.26,1,0.148219,519.813,0.180863,125.638,0.306861,0.326403,1.33788,0.26352,2.62125,0.26352,0,0,0,0,0,0,0.26352
54,-1278.32,1,0.150399,662.19,0.173251,153.304,0.316818,0.335637,1.304,0.256848,2.55488,0.256848,0,0,0,0,0,0,0.256848
55,-1384.31,1,0.154361,607.27,0.171402,267.245,0.315002,0.327138,1.27098,0.250344,2.49019,0.250344,0,0,0,0,0,0,0.250344
56,-1474.09,1,0.148548,575.123,0.172903,137.791,0.31859,0.318855,1.2388,0.244005,2.74628,0.244005,0,0,0,0,0,0,0.244005
57,-1547.28,1,0.139732,694.829,0.173242,206.966,0.333838,0.310781,1.2269,0.237827,2.67674,0.237827,0,0,0,0,0,0,0.237827
58,-1634.61,1,0.136019,867.094,0.173623,272.588,0.332184,0.321808,1.19583,0.231805,2.64267,0.231805,0,0,0,0,0,0,0.231805
59,-1744.76,1,0.129123,918.245,0.17463,327.214,0.342775,0.31366,1.16555,0.225936,2.57575,0.225936,0,0,0,0,0,0,0.225936
60,-1819.15,1,0.131141,1008.38,0.171238,346.904,0.343596,0.305718,1.29162,0.220215,2.51054,0.220215,0,0,0,0,0,0,0.220215
61,-1890.85,1,0.127044,1250.95,0.167455,262.316,0.351603,0.301885,1.32863,0.214768,2.5064,0.214639,0,0,0,0,0,0,0.214639
62,-1998.75,1,0.124725,1447.78,0.167543,202.172,0.356357,0.294241,1.30839,0.20933,2.44293,0.209204,0,0,0,0,0,0,0.209204
63,-2069.2,1,0.125635,1255.88,0.168475,222.012,0.353498,0.286791,1.34607,0.204029,2.46032,0.203907,0,0,0,0,0,0,0.203907
64,-2168.12,1,0.128857,1062.12,0.171917,208.519,0.342745,0.279529,1.31199,0.198863,2.39802,0.198744,0,0,0,0,0,0,0.198744
