ID,time,pop,popPred,indivPredMean,indivPredMode
1,2.22045e-16,0.489139,0.489139,0.493361,0.49607
1,3.04547e-16,0.489139,0.489139,0.493361,0.49607
1,4.17705e-16,0.489139,0.489139,0.493361,0.49607
1,5.72907e-16,0.489139,0.489139,0.493361,0.49607
1,7.85776e-16,0.489139,0.489139,0.493361,0.49607
1,1.07774e-15,0.489139,0.489139,0.493361,0.49607
1,1.47818e-15,0.489139,0.489139,0.493361,0.49607
1,2.02741e-15,0.489139,0.489139,0.493361,0.49607
1,2.78072e-15,0.489139,0.489139,0.493361,0.49607
1,3.81392e-15,0.489139,0.489139,0.493361,0.49607
1,5.23102e-15,0.489139,0.489139,0.493361,0.49607
1,7.17465e-15,0.489139,0.489139,0.493361,0.49607
1,9.84046e-15,0.489139,0.489139,0.493361,0.49607
1,1.34968e-14,0.489139,0.489139,0.493361,0.49607
1,1.85116e-14,0.489139,0.489139,0.493361,0.49607
1,2.53898e-14,0.489139,0.489139,0.493361,0.49607
1,3.48236e-14,0.489139,0.489139,0.493361,0.49607
1,4.77626e-14,0.489139,0.489139,0.493361,0.49607
1,6.55093e-14,0.489139,0.489139,0.493361,0.49607
1,8.98499e-14,0.489139,0.489139,0.493361,0.49607
1,1.23234e-13,0.489139,0.489139,0.493361,0.49607
1,1.69023e-13,0.489139,0.489139,0.493361,0.49607
1,2.31825e-13,0.489139,0.489139,0.493361,0.49607
1,3.17962e-13,0.489139,0.489139,0.493361,0.49607
1,4.36104e-13,0.489139,0.489139,0.493361,0.49607
1,5.98143e-13,0.489139,0.489139,0.493361,0.49607
1,8.20388e-13,0.489139,0.489139,0.493361,0.49607
1,1.12521e-12,0.489139,0.489139,0.493361,0.49607
1,1.54329e-12,0.489139,0.489139,0.493361,0.49607
1,2.11672e-12,0.489139,0.489139,0.493361,0.49607
1,2.90321e-12,0.489139,0.489139,0.493361,0.49607
1,3.98192e-12,0.489139,0.489139,0.493361,0.49607
1,5.46144e-12,0.489139,0.489139,0.493361,0.49607
1,7.49069e-12,0.489139,0.489139,0.493361,0.49607
1,1.02739e-11,0.489139,0.489139,0.493361,0.49607
1,1.40913e-11,0.489139,0.489139,0.493361,0.49607
1,1.9327e-11,0.489139,0.489139,0.493361,0.49607
1,2.65082e-11,0.489139,0.489139,0.493361,0.49607
1,3.63575e-11,0.489139,0.489139,0.493361,0.49607
1,4.98665e-11,0.489139,0.489139,0.493361,0.49607
1,6.83949e-11,0.48914,0.48914,0.493362,0.49607
1,9.38077e-11,0.48914,0.48914,0.493362,0.496071
1,1.28663e-10,0.48914,0.48914,0.493362,0.496071
1,1.76469e-10,0.48914,0.48914,0.493363,0.496071
1,2.42037e-10,0.48914,0.48914,0.493363,0.496072
1,3.31968e-10,0.489141,0.489141,0.493364,0.496073
1,4.55314e-10,0.489141,0.489141,0.493365,0.496074
1,6.24491e-10,0.489142,0.489142,0.493367,0.496075
1,8.56526e-10,0.489142,0.489142,0.493369,0.496077
1,1.17478e-09,0.489144,0.489144,0.493372,0.49608
1,1.61127e-09,0.489145,0.489145,0.493376,0.496083
1,2.20996e-09,0.489147,0.489147,0.493382,0.496088
1,3.03109e-09,0.48915,0.48915,0.49339,0.496095
1,4.15732e-09,0.489155,0.489155,0.493401,0.496104
1,5.70201e-09,0.48916,0.48916,0.493415,0.496117
1,7.82064e-09,0.489168,0.489168,0.493436,0.496135
1,1.07265e-08,0.489179,0.489179,0.493463,0.496159
1,1.4712e-08,0.489194,0.489194,0.493501,0.496192
1,2.01784e-08,0.489214,0.489214,0.493553,0.496237
1,2.76758e-08,0.489241,0.489241,0.493625,0.496299
1,3.79591e-08,0.489279,0.489279,0.493723,0.496384
1,5.20631e-08,0.489331,0.489331,0.493857,0.496501
1,7.14076e-08,0.489403,0.489403,0.494041,0.496661
1,9.79398e-08,0.4895,0.4895,0.494293,0.49688
1,1.3433e-07,0.489634,0.489634,0.494638,0.49718
1,1.84242e-07,0.489818,0.489818,0.49511,0.497591
1,2.52699e-07,0.490069,0.490069,0.495754,0.498152
1,3.46591e-07,0.490413,0.490413,0.496634,0.498919
1,4.7537e-07,0.490884,0.490884,0.497832,0.499964
1,6.51999e-07,0.491527,0.491527,0.49946,0.501385
1,8.94255e-07,0.492406,0.492406,0.501662,0.503313
1,1.22652e-06,0.493602,0.493602,0.504629,0.505916
1,1.68225e-06,0.495229,0.495229,0.508599,0.50941
1,2.30731e-06,0.497433,0.497433,0.51386,0.514063
1,3.16461e-06,0.500405,0.500405,0.520747,0.520194
1,4.34045e-06,0.504388,0.504388,0.529607,0.52815
1,5.95318e-06,0.509679,0.509679,0.540736,0.538267
1,8.16514e-06,0.516628,0.516628,0.554269,0.550775
1,1.1199e-05,0.525605,0.525605,0.570009,0.565656
1,1.53601e-05,0.536949,0.536949,0.587233,0.582454
1,2.10672e-05,0.550856,0.550856,0.604579,0.600103
1,2.88949e-05,0.56721,0.56721,0.620174,0.616912
1,3.96311e-05,0.58538,0.58538,0.63219,0.630919
1,5.43564e-05,0.604059,0.604059,0.639699,0.640652
1,7.45531e-05,0.621328,0.621328,0.643234,0.645939
1,0.000102254,0.635148,0.635148,0.644371,0.647998
1,0.000140247,0.644236,0.644236,0.64459,0.64851
1,0.000192358,0.648817,0.648817,0.644612,0.648581
1,0.00026383,0.65043,0.65043,0.644613,0.648585
1,0.000361858,0.65078,0.65078,0.644613,0.648585
1,0.00049631,0.65082,0.65082,0.644613,0.648585
1,0.000680719,0.650822,0.650822,0.644613,0.648585
1,0.000933646,0.650822,0.650822,0.644613,0.648585
1,0.00128055,0.650822,0.650822,0.644613,0.648585
1,0.00175635,0.650822,0.650822,0.644613,0.648585
1,0.00240894,0.650822,0.650822,0.644613,0.648585
1,0.003304,0.650822,0.650822,0.644613,0.648585
1,0.00453164,0.650822,0.650822,0.644613,0.648585
1,0.00621541,0.650822,0.650822,0.644613,0.648585
1,0.0085248,0.650822,0.650822,0.644613,0.648585
1,0.0116923,0.650822,0.650822,0.644613,0.648585
1,0.0160366,0.650822,0.650822,0.644613,0.648585
1,0.0219952,0.650822,0.650822,0.644613,0.648585
1,0.0301677,0.650822,0.650822,0.644613,0.648585
1,0.0413768,0.650822,0.650822,0.644613,0.648585
1,0.0567508,0.650822,0.650822,0.644613,0.648585
1,0.0778371,0.650822,0.650822,0.644613,0.648585
1,0.106758,0.650822,0.650822,0.644613,0.648585
1,0.146425,0.650822,0.650822,0.644613,0.648585
1,0.200831,0.650822,0.650822,0.644613,0.648585
1,0.251973,0.650822,0.650822,0.644613,0.648585
